smiles,pka,is_ionizable
OCC3OC(OCC2OC(OC(C#N)c1ccccc1)C(O)C(O)C2O)C(O)C(O)C3O ,8.303406391143799,1
Cc1occc1C(=O)Nc2ccccc2,4.306882457733154,1
CC(C)=CCCC(C)=CC(=O),,0
c1ccc2c(c1)ccc3c2ccc4c5ccccc5ccc43,,0
c1ccsc1,,0
c2ccc1scnc1c2 ,2.885454330444336,1
Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cccc2Cl,,0
CC12CCC3C(CCc4cc(O)ccc34)C2CCC1O,10.03301700592041,1
ClC4=C(Cl)C5(Cl)C3C1CC(C2OC12)C3C4(Cl)C5(Cl)Cl,,0
COc5cc4OCC3Oc2c1CC(Oc1ccc2C(=O)C3c4cc5OC)C(C)=C ,,0
O=C1CCCN1,6.683068161010742,1
Clc1ccc2ccccc2c1,,0
CCCC=C,,0
CCC1(C(=O)NCNC1=O)c2ccccc2,5.692697525024414,1
CCCCCCCCCCCCCC,,0
CC(C)Cl,,0
CCC(C)CO,10.210412406921387,1
N#Cc1ccccc1,,0
CCOP(=S)(OCC)Oc1cc(C)nc(n1)C(C)C,3.987125473022461,1
CCCCCCCCCC(C)O,9.769622344970703,1
Clc1ccc(c(Cl)c1)c2c(Cl)ccc(Cl)c2Cl ,,0
O=c2[nH]c1CCCc1c(=O)n2C3CCCCC3,5.482615356445312,1
CCOP(=S)(OCC)SCSCC,,0
CCOc1ccc(NC(=O)C)cc1,5.333928689956665,1
CCN(CC)c1c(cc(c(N)c1N(=O)=O)C(F)(F)F)N(=O)=O,8.43509355545044,1
CCCCCCCO,9.612267570495606,1
Cn1c(=O)n(C)c2nc[nH]c2c1=O,5.65083643913269,1
CCCCC1(CC)C(=O)NC(=O)NC1=O,7.865216083526612,1
ClC(Cl)=C(c1ccc(Cl)cc1)c2ccc(Cl)cc2,,0
CCCCCCCC(=O)OC,,0
CCc1ccc(CC)cc1,,0
CCOP(=S)(OCC)SCSC(C)(C)C,,0
COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,4.635347175598144,1
ClC(=C)Cl,,0
Cc1cccc2c1Cc3ccccc32,,0
CCCCC=O,,0
N(c1ccccc1)c2ccccc2,5.875655345916748,1
CN(C)C(=O)SCCCCOc1ccccc1,5.924309825897216,1
CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C,6.937283725738525,1
CCCCCCCI,,0
c1c(Cl)cccc1c2ccccc2,,0
OCCCC=C,9.560151748657226,1
O=C2NC(=O)C1(CCC1)C(=O)N2,7.826830444335937,1
CC(C)C1CCC(C)CC1O ,10.13403907775879,1
CC(C)OC=O,,0
CCCCCC(C)O,9.881700325012208,1
CC(=O)Nc1ccc(Br)cc1,4.909246015548706,1
c1ccccc1n2ncc(N)c(Br)c2(=O),8.904588413238525,1
COC(=O)C1=C(C)NC(=C(C1c2ccccc2N(=O)=O)C(=O)OC)C ,4.806663112640381,1
c2c(C)cc1nc(C)ccc1c2 ,5.259419746398926,1
CCCCCCC#C,,0
CCC1(C(=O)NC(=O)NC1=O)C2=CCCCC2 ,7.6283887672424315,1
c1ccc2c(c1)ccc3c4ccccc4ccc23,,0
CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O ,4.5896537971496585,1
Clc1cccc(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl ,,0
Cc1ccccc1O,10.291408805847167,1
CC(C)CCC(C)(C)C,,0
Cc1ccc(C)c2ccccc12,,0
Cc1cc2c3ccccc3ccc2c4ccccc14,,0
CCCC(=O)C,,0
Clc1cc(Cl)c(Cl)c(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl ,,0
CCCOC(=O)CC,,0
CC34CC(O)C1(F)C(CCC2=CC(=O)C=CC12C)C3CC(O)C4(O)C(=O)CO,7.128252239227295,1
Nc1ccc(O)cc1,6.609901580810547,1
O=C(Cn1ccnc1N(=O)=O)NCc2ccccc2,5.026348505020142,1
OC4=C(C1CCC(CC1)c2ccc(Cl)cc2)C(=O)c3ccccc3C4=O,5.8249180793762205,1
CCNc1nc(Cl)nc(n1)N(CC)CC,6.020287456512452,1
NC(=O)c1cnccn1,5.1505961608886714,1
CCC(Br)(CC)C(=O)NC(N)=O,8.893322982788085,1
Clc1ccccc1c2ccccc2Cl ,,0
O=C2CN(N=Cc1ccc(o1)N(=O)=O)C(=O)N2 ,8.66886739730835,1
Clc2ccc(Oc1ccc(cc1)N(=O)=O)c(Cl)c2,,0
CC1(C)C2CCC1(C)C(=O)C2,,0
O=C1NC(=O)NC(=O)C1(CC=C)c1ccccc1,7.56622579574585,1
CCCCC(=O)OCC,,0
CC(C)CCOC(=O)C,,0
O=C1N(COC(=O)CCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,9.635329437255859,1
Clc1cccc(c1)c2cc(Cl)ccc2Cl ,,0
CCCBr,,0
CCCC1COC(Cn2cncn2)(O1)c3ccc(Cl)cc3Cl,3.4911227321624754,1
COP(=S)(OC)SCC(=O)N(C)C=O,4.413599090576172,1
Cc1ncnc2nccnc12,3.283194923400879,1
NC(=S)N,5.1793183422088624,1
Cc1ccc(C)cc1,,0
CCc1ccccc1CC,,0
ClC(Cl)(Cl)C(Cl)(Cl)Cl,,0
CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c3ccc(OC(F)F)cc3,,0
CCCN(=O)=O,,0
CC(C)C1CCC(C)CC1=O,,0
CCN2c1cc(Cl)ccc1NC(=O)c3cccnc23 ,6.327250804901123,1
O=N(=O)c1c(Cl)c(Cl)ccc1,,0
CCCC(C)C1(CC=C)C(=O)NC(=S)NC1=O ,7.623927516937256,1
c1ccc2c(c1)c3cccc4cccc2c34,,0
CCCOC(C)C,,0
Cc1cc(C)c2ccccc2c1,,0
CCC(=C(CC)c1ccc(O)cc1)c2ccc(O)cc2 ,10.114352684020997,1
c1(C#N)c(Cl)c(C#N)c(Cl)c(Cl)c(Cl)1,,0
Clc1ccc(Cl)c(c1)c2ccc(Cl)c(Cl)c2,,0
C1OC1c2ccccc2 ,,0
CC(C)c1ccccc1,,0
CC12CCC3C(CCC4=CC(=O)CCC34C)C2CCC1C(=O)CO,7.843262825012207,1
c2(Cl)c(Cl)c(Cl)c1nccnc1c2(Cl) ,3.0830272579193116,1
C1OC(O)C(O)C(O)C1O,9.907590293884278,1
ClCCl,,0
CCc1cccc2ccccc12,,0
COC=O,,0
Oc1ccccc1N(=O)=O,7.436574592590332,1
Cc1c[nH]c(=O)[nH]c1=O ,5.070596857070923,1
CC(C)C,,0
OCC1OC(C(O)C1O)n2cnc3c(O)ncnc23,5.684254016876221,1
Oc1c(I)cc(C#N)cc1I,5.155644874572754,1
Oc1ccc(Cl)cc1C(=O)Nc2ccc(cc2Cl)N(=O)=O,7.44815055847168,1
CCCCC,,0
c1ccccc1O,10.033844680786133,1
Nc3ccc2cc1ccccc1cc2c3 ,4.5085267162323,1
Cn1cnc2n(C)c(=O)[nH]c(=O)c12 ,5.414453935623169,1
c1ccc2cnccc2c1,5.15453540802002,1
COP(=S)(OC)SCC(=O)N(C(C)C)c1ccc(Cl)cc1,5.0935365676879885,1
CCCCCCc1ccccc1,,0
Clc1ccccc1c2ccccc2,,0
CCCC(=C)C,,0
CC(C)C(C)C(C)C,,0
Clc1cc(Cl)c(Cl)c(Cl)c1Cl,,0
Oc1cccc(c1)N(=O)=O,8.180734519958497,1
CCCCCCCCC=C,,0
CC(=O)OCC(COC(=O)C)OC(=O)C,,0
CCCCc1c(C)nc(nc1O)N(C)C ,6.601415309906006,1
CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2ccc(F)c(Oc3ccccc3)c2,,0
c1ccncc1,4.986368198394775,1
CCCCCCCBr,,0
Cc1ccncc1C,6.524296245574951,1
CC34CC(O)C1(F)C(CCC2=CC(=O)CCC12C)C3CCC4(O)C(=O)CO ,6.781261100769043,1
CCSCc1ccccc1OC(=O)NC ,5.00811508178711,1
CCOC(=O)CC(=O)OCC,,0
CC1=CCC(CC1)C(C)=C,,0
C1Cc2ccccc2C1,,0
CC(C)(C)c1ccc(O)cc1,10.163507843017578,1
O=C2NC(=O)C1(CC1)C(=O)N2 ,7.7109349250793455,1
Clc1cccc(I)c1,,0
Brc1cccc2ccccc12,,0
CC/C=C/C,,0
Cc1cccc(C)n1,6.496253299713135,1
ClC=C(Cl)Cl,,0
Nc1cccc2ccccc12,4.348987989425659,1
Cc1cccc(C)c1,,0
Oc2ncc1nccnc1n2,5.451995878219605,1
CO,10.197722129821777,1
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,7.911180686950684,1
CCC(=O)C,,0
Fc1c[nH]c(=O)[nH]c1=O ,8.046880912780761,1
Nc1ncnc2n(ccc12)C3OC(CO)C(O)C3O ,5.359850959777832,1
Oc1cccc(O)c1,9.578668479919434,1
CCCCCCO,9.652363090515136,1
CCCCCCl,,0
C=CC=C,,0
CCCOC(=O)C,,0
Oc2ccc1CCCCc1c2 ,10.430595054626465,1
NC(=O)CCl ,6.476547021865844,1
COP(=S)(OC)Oc1cc(Cl)c(I)cc1Cl,,0
Cc1ccc(Cl)cc1,,0
CSc1nnc(c(=O)n1N)C(C)(C)C,4.50311318397522,1
Cc1ccc(OP(=O)(Oc2cccc(C)c2)Oc3ccccc3C)cc1,,0
CCCCCC=O,,0
CCCCOC(=O)c1ccc(N)cc1,9.976234016418458,1
O2c1cc(C)ccc1N(C)C(=O)c3cc(N)cnc23 ,4.79454514503479,1
CC(C)=CCC/C(C)=C\CO,9.835477828979492,1
Clc1ccc(cc1)c2ccccc2Cl ,,0
O=C1N(COC(=O)CCCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,9.699623832702637,1
CCN(=O)=O,,0
CCN(CC(C)=C)c1c(cc(cc1N(=O)=O)C(F)(F)F)N(=O)=O,4.133660345077515,1
Clc1ccc(Cl)c(Cl)c1Cl,,0
CCCC(C)(COC(N)=O)COC(N)=O ,6.635267601013184,1
CC(=O)C3CCC4C2CC=C1CC(O)CCC1(C)C2CCC34C ,8.82426778793335,1
CI,,0
CC1CC(C)C(=O)C(C1)C(O)CC2CC(=O)NC(=O)C2 ,6.539820003509521,1
O=C1N(COC(=O)CCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,9.675545043945313,1
CC1=CC(=O)CC(C)(C)C1 ,,0
O=C1NC(=O)NC(=O)C1(CC)C(C)CC,7.8316452598571775,1
CCCCC(=O)CCCC,,0
CCC1(CCC(=O)NC1=O)c2ccccc2 ,6.304228572845459,1
CCC(C)CC,,0
CCOc1ccc(cc1)C(C)(C)COCc3cccc(Oc2ccccc2)c3,,0
Cc1ccccc1n3c(C)nc2ccccc2c3=O,3.833350839614868,1
ClCC#N,,0
