reaction_id,date,catalyst_canonical,solvent_canonical,temperature_C,time_min,yield_pct,operator,notes
R001,3/11/2026,Pd(PPh3)4,THF,80,30,96.1,B. Ramirez,
R002,4/11/2026,Pd(PPh3)4,THF,80,90,85.7,A. Chen,excess side product
R003,4/18/2026,Pd(PPh3)4,THF,80,60,95.5,D. Petrov,
R004,5/24/2026,Pd(PPh3)4,DMF,80,120,88.8,B. Ramirez,
R005,5/17/2026,Pd(PPh3)4,DMF,80,90,87.1,A. Chen,
R006,4/1/2026,Pd(OAc)2,THF,60,90,73.4,C. Okafor,
R007,4/8/2026,Pd(OAc)2,THF,60,30,72.1,C. Okafor,
R008,4/11/2026,PdCl2(dppf),MeCN,80,90,76,B. Ramirez,
R009,4/17/2026,PdCl2(dppf),MeCN,80,30,98.1,A. Chen,
R010,5/10/2026,Ni(cod)2,toluene,100,90,31,D. Petrov,excess side product
R011,3/4/2026,Ni(cod)2,toluene,100,30,35.3,C. Okafor,
R012,5/10/2026,Pd2(dba)3,DMSO,80,30,91,C. Okafor,
R013,3/5/2026,Pd2(dba)3,DMSO,80,60,74.3,A. Chen,
R014,4/5/2026,Pd(PPh3)2Cl2,EtOH,100,60,64.7,B. Ramirez,excess side product
R015,5/6/2026,Pd(PPh3)2Cl2,MeOH,80,60,75.2,A. Chen,
R016,4/16/2026,Pd(PPh3)2Cl2,toluene,100,60,75.4,D. Petrov,excess side product
R017,5/15/2026,Ni(cod)2,DCM,100,90,24.5,C. Okafor,
R018,3/20/2026,PdCl2(dppf),MeOH,80,30,66.4,A. Chen,
R019,3/14/2026,Ni(cod)2,MeOH,80,120,42.4,D. Petrov,
R020,3/17/2026,Pd(PPh3)4,"1,4-dioxane",100,90,82.6,B. Ramirez,
R021,5/10/2026,Pd2(dba)3,EtOH,120,30,35,C. Okafor,
R022,4/12/2026,Ni(cod)2,DMSO,60,120,36.1,C. Okafor,
R023,5/20/2026,Pd(PPh3)4,MeOH,80,60,88,B. Ramirez,
R024,4/9/2026,Pd(PPh3)4,EtOH,120,120,48.7,C. Okafor,
R025,4/9/2026,PdCl2(dppf),THF,60,60,75.6,C. Okafor,
R026,3/4/2026,Ni(cod)2,water,120,90,0,C. Okafor,
R027,3/10/2026,Pd(PPh3)2Cl2,EtOH,80,90,73.3,C. Okafor,
R028,4/4/2026,Ni(cod)2,water,40,30,0,C. Okafor,
R029,5/10/2026,PdCl2(dppf),DMSO,120,120,49.5,B. Ramirez,
R030,4/14/2026,Pd2(dba)3,MeCN,40,30,54.1,A. Chen,
R031,3/2/2026,Pd(OAc)2,MeOH,80,90,65.6,C. Okafor,
R032,4/6/2026,Pd2(dba)3,EtOH,40,60,40.2,B. Ramirez,
R033,3/11/2026,Ni(cod)2,"1,4-dioxane",100,90,34.8,A. Chen,
R034,3/8/2026,Pd2(dba)3,toluene,120,60,38.6,C. Okafor,
R035,5/6/2026,Pd(PPh3)2Cl2,toluene,100,60,66.3,B. Ramirez,
