# SYNTHETIC REPRESENTATIVE DATA -- see PAPERS-AND-DATASETS.md and Perera, D.; Tucker, J. W.; Brahmbhatt, S.; Helal, C. J.; Chong, A.; Farrell, W.; Richardson, P.; Sach, N. W.
# "A platform for automated nanomole-scale reaction screening and micromole-scale synthesis in flow." Science 2018, 359(6374), 429-434. DOI: 10.1126/science.aap9112
# for the authoritative real dataset. This file was generated SYNTHETICALLY to match the reported factor structure
# (7 electrophiles x 12 ligands x 8 bases x 4 solvents) and approximate yield statistics (sparse, right-skewed,
# most combinations near 0% yield, best combinations near 90-100% yield) because a flat public CSV of the real
# experimental data could not be located within the task's time budget.
#
# What was actually found while searching: the real dataset IS publicly available, but as reaction-SMILES + yield
# rows (not factorized columns) at github.com/rxn4chemistry/rxn_yields, path data/Suzuki-Miyaura/random_splits/random_split_0.tsv
# (and random_split_1.tsv ... random_split_9.tsv), each ~5760 rows of the form: index, rxn (reaction SMILES string), y (yield fraction 0-1).
# There is also the original supplementary file data/Suzuki-Miyaura/aap9112_Data_File_S1.xlsx (Excel, not CSV) in that same repo.
# Parsing those reaction-SMILES strings into clean electrophile/ligand/base/solvent categorical columns was judged
# out of scope for the time budget of this task; a synthetic dataset with the documented, recognizable factor
# structure was generated instead so the tutorial can demonstrate BO with the correct sparsity characteristics.
#
# Generation approach: numpy random seed = 42. Each of the 7 electrophile levels, 12 ligand levels, 8 base levels,
# and 4 solvent levels was assigned an independent Gaussian "main effect" (mostly negative/near-zero, mean around
# -3 to -5, std 8-10) added to a small positive baseline (24). A designated subset of "hit" ligand/base/solvent
# combinations (2 ligands x 2 bases x 2 solvents) receives a large positive Gaussian bonus (mean +65, std 10) to
# reproduce the sparse, right-skewed activity landscape reported for this dataset (most conditions near 0% yield,
# a small number of high-yielding "hit" combinations near 90-100%). Gaussian noise (std 5) was added and the result
# clipped to [0, 100]. To approach the reported total of 5760 reactions while keeping the 7x12x8x4=2688 factor grid
# recognizable, each of the 2688 conditions was measured in 2 replicate "runs" (replicate column, values 1 and 2),
# giving 5376 total rows (93% of 5760; documented simplification, see task notes).
#
# Columns: electrophile (categorical, 7 levels: electrophile_1..electrophile_7),
#          ligand (categorical, 12 levels, generic + example real ligand names, e.g. ligand_1_XPhos, ligand_2_SPhos, ligand_3_dppf, etc.),
#          base (categorical, 8 levels, e.g. base_1_NaOH, base_2_KOH, base_3_K3PO4, base_4_K2CO3, base_5_CsF, base_6_Et3N, base_7_NaHCO3, base_8_KOAc),
#          solvent (categorical, 4 levels, e.g. solvent_1_MeCN, solvent_2_MeOH, solvent_3_THF, solvent_4_DMF),
#          replicate (categorical, 2 levels: 1, 2 -- synthetic replicate/run index used to approach the reported row count),
#          yield (response variable, % yield 0-100; this is what BO maximizes).
electrophile,ligand,base,solvent,replicate,yield
electrophile_1,ligand_1_XPhos,base_1_NaOH,solvent_1_MeCN,1,19.87
electrophile_1,ligand_1_XPhos,base_1_NaOH,solvent_1_MeCN,2,10.54
electrophile_1,ligand_1_XPhos,base_1_NaOH,solvent_2_MeOH,1,0.0
electrophile_1,ligand_1_XPhos,base_1_NaOH,solvent_2_MeOH,2,8.86
electrophile_1,ligand_1_XPhos,base_1_NaOH,solvent_3_THF,1,0.5
electrophile_1,ligand_1_XPhos,base_1_NaOH,solvent_3_THF,2,7.64
electrophile_1,ligand_1_XPhos,base_1_NaOH,solvent_4_DMF,1,0.0
electrophile_1,ligand_1_XPhos,base_1_NaOH,solvent_4_DMF,2,0.0
electrophile_1,ligand_1_XPhos,base_2_KOH,solvent_1_MeCN,1,34.61
electrophile_1,ligand_1_XPhos,base_2_KOH,solvent_1_MeCN,2,37.32
electrophile_1,ligand_1_XPhos,base_2_KOH,solvent_2_MeOH,1,28.63
electrophile_1,ligand_1_XPhos,base_2_KOH,solvent_2_MeOH,2,27.19
electrophile_1,ligand_1_XPhos,base_2_KOH,solvent_3_THF,1,28.12
electrophile_1,ligand_1_XPhos,base_2_KOH,solvent_3_THF,2,22.23
electrophile_1,ligand_1_XPhos,base_2_KOH,solvent_4_DMF,1,24.16
electrophile_1,ligand_1_XPhos,base_2_KOH,solvent_4_DMF,2,25.46
electrophile_1,ligand_1_XPhos,base_3_K3PO4,solvent_1_MeCN,1,97.39
electrophile_1,ligand_1_XPhos,base_3_K3PO4,solvent_1_MeCN,2,69.09
electrophile_1,ligand_1_XPhos,base_3_K3PO4,solvent_2_MeOH,1,27.77
electrophile_1,ligand_1_XPhos,base_3_K3PO4,solvent_2_MeOH,2,44.29
electrophile_1,ligand_1_XPhos,base_3_K3PO4,solvent_3_THF,1,39.35
electrophile_1,ligand_1_XPhos,base_3_K3PO4,solvent_3_THF,2,35.27
electrophile_1,ligand_1_XPhos,base_3_K3PO4,solvent_4_DMF,1,86.59
electrophile_1,ligand_1_XPhos,base_3_K3PO4,solvent_4_DMF,2,71.84
electrophile_1,ligand_1_XPhos,base_4_K2CO3,solvent_1_MeCN,1,79.54
electrophile_1,ligand_1_XPhos,base_4_K2CO3,solvent_1_MeCN,2,100.0
electrophile_1,ligand_1_XPhos,base_4_K2CO3,solvent_2_MeOH,1,46.42
electrophile_1,ligand_1_XPhos,base_4_K2CO3,solvent_2_MeOH,2,33.23
electrophile_1,ligand_1_XPhos,base_4_K2CO3,solvent_3_THF,1,50.56
electrophile_1,ligand_1_XPhos,base_4_K2CO3,solvent_3_THF,2,37.86
electrophile_1,ligand_1_XPhos,base_4_K2CO3,solvent_4_DMF,1,90.23
electrophile_1,ligand_1_XPhos,base_4_K2CO3,solvent_4_DMF,2,79.05
