# REAL experimental data. Source: Reizman, B. J.; Jensen, K. F. React. Chem. Eng. 2016, 1, 658-666.
# DOI: 10.1039/C6RE00153J. Mirrored verbatim from sustainable-processes/summit
# (github.com/sustainable-processes/summit, summit/benchmarks/data/reizman_suzuki_case_{1..4}.csv),
# which itself vendors the closed-loop Suzuki-Miyaura optimization campaign data published by Reizman & Jensen.
# case: 1-4, one of four substrate-pair sub-campaigns reported in the paper (same 7 candidate
#   catalyst/ligand combinations tested in each case: P1-L1..L7 = Pd precatalyst P1 with ligands L1-L7,
#   P2-L1 = Pd precatalyst P2 with ligand L1).
# catalyst: categorical, ligand/precatalyst combination (8 levels: P1-L1..P1-L7, P2-L1).
# t_res: continuous, residence time in the flow reactor, seconds (range ~60-600 s).
# temperature: continuous, reactor temperature, degrees C (range ~30-110 C).
# catalyst_loading: continuous, mol % catalyst loading (range ~0.5-2.5 mol%).
# ton: turnover number (observed), reported as in the original data; not used as the optimization target.
# yld: reaction yield, % (0-100). This is the response variable used for BO (normalized to [0,1] by the
#   notebook's loader by dividing by the max yield observed in this dataset).
case,name,catalyst,t_res,temperature,catalyst_loading,ton,yld
1,0,P1-L3,600,30,0.498,1.1,0.6
1,1,P1-L6,600,30,2.515,0.2,0.6
1,2,P1-L4,60,30,2.508,0.2,0.6
1,3,P1-L1,60,30,0.513,1.1,0.6
1,4,P1-L2,600,30,2.513,0.2,0.6
1,5,P1-L5,60,30,0.508,1.1,0.6
1,6,P1-L7,600,30,0.506,1.1,0.6
1,7,P2-L1,60,30,2.509,0.2,0.6
1,8,P2-L1,600,110,0.496,8.5,4.3
1,9,P1-L4,600,110,0.512,84.7,43.4
1,10,P1-L6,60,110,0.498,1.1,0.6
1,11,P1-L1,600,110,2.509,24,60.2
1,12,P1-L7,60,110,2.499,33.8,84.6
1,13,P1-L2,60,110,0.508,16.9,8.5
1,14,P1-L3,60,110,2.489,21.8,54.4
1,15,P1-L7,189.7,65.3,1.123,0.5,0.6
1,16,P1-L1,189.7,65.3,1.106,22.5,24.9
1,17,P1-L6,600,65.3,2.515,0.2,0.6
1,18,P2-L1,189.7,65.3,2.509,8.4,21.1
1,19,P1-L4,189.7,65.3,2.508,21.2,53.1
1,20,P1-L5,189.7,65.3,1.106,0.5,0.6
1,21,P1-L2,600,65.3,1.129,6.7,7.5
1,22,P1-L4,600,110,1.106,82.6,91.3
1,23,P1-L1,600,110,2.509,27.4,68.6
1,24,P1-L7,600,110,2.499,30,75
1,25,P1-L3,189.7,110,2.489,21.6,53.8
1,26,P1-L5,600,110,2.512,18.9,47.6
1,27,P2-L1,600,110,1.131,15,17
1,28,P1-L4,600,30,0.512,1.1,0.6
1,29,P1-L5,600,30,0.508,1.1,0.6
1,30,P1-L1,600,30,0.513,1.1,0.6
1,31,P1-L2,60,110,2.513,16.6,41.9
1,32,P1-L3,60,110,2.489,31.2,77.5
1,33,P1-L6,60,110,2.515,3.4,8.5
1,34,P1-L7,60,110,2.499,34.2,85.4
1,35,P1-L4,60,67.5,2.508,13.4,33.4
1,36,P1-L5,60,66.7,2.512,0.2,0.6
1,37,P1-L3,60,67,2.489,9.8,24.4
1,38,P1-L1,60,66.3,2.509,4.9,12.4
1,39,P2-L1,60,67,2.509,4.5,11.2
1,40,P1-L7,155.6,110,2.499,32.5,81.3
1,41,P1-L5,109.3,110,2.482,15.8,39.1
1,42,P2-L1,104.5,110,2.509,11.3,28.4
1,43,P1-L1,109.2,110,2.482,29.8,74.1
1,44,P1-L3,166.5,110,2.489,24.5,60.9
1,45,P1-L4,60,110,0.512,20.1,10.3
1,46,P1-L7,60,110,0.506,1.1,0.6
1,47,P1-L3,60,110,0.498,43.7,21.7
1,48,P1-L4,60,110,0.512,17,8.7
1,49,P1-L3,600,110,0.968,24.5,23.7
1,50,P1-L1,600,110,0.971,42.6,41.4
1,51,P1-L5,600,110,0.957,40.6,38.8
1,52,P1-L4,600,110,1.268,72.4,91.8
1,53,P1-L7,600,110,0.814,46.6,38
1,54,P1-L4,161.7,110,2.104,39.9,84
1,55,P1-L1,146.1,110,2.509,27.7,69.6
1,56,P1-L3,185.5,110,2.489,25.2,62.8
1,57,P1-L7,176.5,110,2.499,27.5,68.6
1,58,P1-L1,60,110,2.266,37.1,83.9
1,59,P1-L4,60,110,1.915,34.4,65.7
1,60,P1-L7,60,110,2.303,35,80.7
1,61,P1-L3,60,110,2.323,27.7,64.4
1,62,P1-L4,600,110,2.508,30.8,82.1
1,63,P1-L4,600,110,2.508,31.9,80
1,64,P1-L4,600,67.3,1.214,24.4,29.6
1,65,P1-L4,600,68.7,1.268,16.1,20.4
1,66,P1-L4,199.3,110,1.241,57.8,71.6
1,67,P1-L1,202.8,110,1.592,44.6,70.9
1,68,P1-L4,600,110,1.16,65.1,75.5
1,69,P1-L4,600,110,1.16,71.4,82.7
1,70,P1-L4,600,110,1.106,65.3,72.2
1,71,P1-L4,600,110,1.106,83.9,92.8
1,72,P1-L4,600,110,1.187,60.7,72.1
1,73,P1-L4,600,110,1.106,73,80.7
1,74,P1-L4,600,66.3,0.998,20.2,20.1
1,75,P1-L4,600,67.6,0.998,18,17.9
1,76,P1-L4,600,110,1.241,70.5,87.5
1,77,P1-L4,600,110,1.268,63.2,80.2
1,78,P1-L4,600,110,1.187,65.8,78.1
1,79,P1-L4,189.1,110,2.508,39.4,98.7
1,80,P1-L4,600,110,1.268,65.6,83.1
1,81,P1-L4,199.8,110,2.508,33.5,83.9
1,82,P1-L4,199.6,110,2.508,33.2,83.2
1,83,P1-L4,600,110,1.241,62,76.9
1,84,P1-L4,600,110,1.025,73.3,75
1,85,P1-L4,600,110,1.079,81.2,87.6
1,86,P1-L4,600,110,1.133,67,75.9
1,87,P1-L4,600,110,1.106,71.2,78.7
1,88,P1-L7,60,66.8,2.499,1.4,3.6
1,89,P1-L1,60,110,0.513,40,20.5
1,90,P1-L5,600,110,2.512,16.7,42
1,91,P1-L6,189.7,110,1.127,6.6,7.4
1,92,P1-L4,600,110,1.052,65.4,68.7
1,93,P1-L3,600,65.3,1.106,5.1,5.6
1,94,P2-L1,600,30,0.496,1.1,0.6
1,95,P1-L2,189.7,110,2.513,21.1,52.9
