acid_id,smiles,mw,n_heavy,n_rot,subclass,murcko_scaffold
Ac3,O=C(O)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,258.117,17,1,benzoic,c1ccccc1
Ac4,COc1ccccc1C(=O)O,152.149,11,2,benzoic,c1ccccc1
Ac5,CC(C)(C(=O)O)c1ccccc1,164.204,12,2,alpha_quat,c1ccccc1
Ac8,O=C(O)c1cscn1,129.14,8,1,heteroaryl,c1cscn1
Ac9,O=C(O)c1cccnc1F,141.101,10,1,aryl_other,c1ccncc1
Ac10,O=C(O)COc1ccccc1,152.149,11,3,acyclic_ali,c1ccccc1
Ac11,O=C(O)C(=O)c1ccccc1,150.133,11,2,other,c1ccccc1
Ac12,O=C(O)c1cnco1,113.072,8,1,heteroaryl,c1cocn1
Ac13,Cn1cc(C(=O)O)c2ccccc21,175.187,13,1,aryl_other,c1ccc2[nH]ccc2c1
Ac14,O=C(O)Cc1cc(Cl)ccc1Br,249.491,12,2,acyclic_ali,c1ccccc1
Ac15,O=C(O)/C=C/c1c(Cl)cccc1Cl,217.051,13,2,other,c1ccccc1
Ac16,Cc1cc(C(=O)O)c(C)o1,140.138,10,1,aryl_other,c1ccoc1
Ac17,O=C(O)C1(c2ccccc2)CC1,162.188,12,2,alpha_quat,c1ccc(C2CC2)cc1
Ac20,O=C(O)c1cccc(Cl)n1,157.556,10,1,heteroaryl,c1ccncc1
Ac21,O=C(O)c1cc(Cl)ccn1,157.556,10,1,heteroaryl,c1ccncc1
Ac22,O=C(O)c1ncc(F)cc1F,159.091,11,1,heteroaryl,c1ccncc1
Ac30,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,300.442,22,5,other,C1=CCCCC1
Ac33,O=C(O)COc1ccc(Cl)cc1Cl,221.039,13,3,acyclic_ali,c1ccccc1
Ac34,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,254.285,19,4,acyclic_ali,O=C(c1ccccc1)c1ccccc1
Ac37,CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C(=O)O)C(C)(C)CCC1,300.442,22,5,other,C1=CCCCC1
Ac41,CC1=C(/C=C/C(C)=C/C=C/C(C)=C\C(=O)O)C(C)(C)CCC1,300.442,22,5,other,C1=CCCCC1
Ac43,C[C@H]1[C@@H](OC(=O)CCC(=O)O)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,384.425,27,4,acyclic_ali,C1CC2CCOC3OC4CCC(C1)C23OO4
Ac46,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,250.338,18,6,alpha_quat,c1ccccc1
Ac47,CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1,285.365,19,7,benzoic,c1ccccc1
Ac51,COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C,326.436,24,6,other,c1ccccc1
Ac52,COc1c(Cl)ccc(Cl)c1C(=O)O,221.039,13,2,benzoic,c1ccccc1
Ac54,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,388.895,27,8,acyclic_ali,c1ccc(C(c2ccccc2)N2CCNCC2)cc1
Ac55,CC1=C(CC(=O)O)c2cc(F)ccc2/C1=C\c1ccc(S(C)=O)cc1,356.418,25,4,acyclic_ali,C1=Cc2ccccc2C1=Cc1ccccc1
Ac57,O=C(O)c1ccccc1I,248.019,10,1,benzoic,c1ccccc1
Ac58,Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)O,316.382,22,5,heteroaryl,c1ccc(-c2nccs2)cc1
Ac60,CC(C)C1=CC2=CC[C@@H]3[C@](C)(CCC[C@@]3(C)C(=O)O)[C@H]2CC1,302.458,22,2,alpha_quat,C1=CC2=CCC3CCCCC3C2CC1
Ac61,O=C(O)c1ccc(I)cc1,248.019,10,1,benzoic,c1ccccc1
Ac63,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(C(=O)O)CCC[C@]21C,300.442,22,2,alpha_quat,c1ccc2c(c1)CCC1CCCCC21
Ac65,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,303.141,19,6,acyclic_ali,c1ccccc1
Ac68,COc1cccc2c1cc([N+](=O)[O-])c1c(C(=O)O)cc3c(c12)OCO3,341.275,25,3,benzoic,c1ccc2c(c1)ccc1ccc3c(c12)OCO3
Ac75,CC(C)(C)OC(=O)N1CCC(C(=O)O)CC1,229.276,16,1,cyclic_ali,C1CCNCC1
Ac76,O=C(O)COc1cc(Cl)c(Cl)cc1Cl,255.484,14,3,acyclic_ali,c1ccccc1
Ac82,CCCCOC(=O)c1ccccc1C(=O)O,222.24,16,5,benzoic,c1ccccc1
Ac84,CC(Oc1cc(Cl)c(Cl)cc1Cl)C(=O)O,269.511,15,3,acyclic_ali,c1ccccc1
Ac86,COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2,412.529,31,4,benzoic,c1cc(-c2ccc3ccccc3c2)cc(C23CC4CC(CC(C4)C2)C3)c1
Ac89,CC(Oc1ccc(Cl)cc1Cl)C(=O)O,235.066,14,3,acyclic_ali,c1ccccc1
Ac91,O=C(O)COc1nc(Cl)c(Cl)cc1Cl,256.472,14,3,acyclic_ali,c1ccncc1
Ac92,O=C(O)c1cccc(I)c1,248.019,10,1,benzoic,c1ccccc1
Ac95,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](OC(=O)CCC(=O)O)CC[C@]4(C)[C@H]3CC[C@]12C,486.737,35,9,acyclic_ali,C1=C2CCCCC2C2CCC3CCCC3C2C1
Ac96,C=C(C(=O)O)[C@@H]1CC[C@@H](C)[C@@H]2CCC(C)=C[C@@H]21,234.339,17,2,other,C1=CC2CCCCC2CC1
Ac97,O=C(O)c1ccccc1C(=O)c1ccccc1,226.231,17,3,benzoic,O=C(c1ccccc1)c1ccccc1
Ac98,O=C(O)c1cccc2nc3ccccc3nc12,224.219,17,1,benzoic,c1ccc2nc3ccccc3nc2c1
Ac99,CCCCC(CC)COC(=O)c1ccccc1C(=O)O,278.348,20,8,benzoic,c1ccccc1
Ac101,O=C(O)c1cc(I)cc(I)c1I,499.811,12,1,benzoic,c1ccccc1
Ac102,O=C(O)CCCc1ccc2ccc3cccc4ccc1c2c34,288.346,22,4,acyclic_ali,c1cc2ccc3cccc4ccc(c1)c2c34
Ac104,CC(=O)Oc1cc2c(cc1Cl)C(c1ccccc1C(=O)O)c1cc(Cl)c(OC(C)=O)cc1O2,487.291,33,4,benzoic,c1ccc(C2c3ccccc3Oc3ccccc32)cc1
Ac105,COc1ccc2cc(C(C)C(=O)O)ccc2c1,230.263,17,3,acyclic_ali,c1ccc2ccccc2c1
