acid_id,smiles
Ac127,CC(C)=CCOc1ccc(/C=C/C(=O)c2ccc(OCC=C(C)C)cc2OCC(=O)O)cc1
Ac4947,O=C(O)c1ccccc1-c1ccc(Cl)c(Cl)c1
Ac1578,CC(C)(C)OC(=O)N1CCC(=CC(=O)O)CC1
Ac8244,O=C(N[C@@H](CN1C(=O)c2ccccc2C1=O)C(=O)O)OCC1c2ccccc2-c2ccccc21
Ac8366,O=C(O)c1cccc(-c2ccccc2Cl)c1
Ac592,O=C(O)CCCc1ccc(-c2ccccc2)cc1
Ac1181,COc1cccc(-c2ccccc2C(=O)O)c1
Ac1859,O=C(O)c1cc(-c2ccccc2)ccc1F
Ac8184,O=C(O)c1cc2c(Cl)nc(Cl)nc2n1S(=O)(=O)c1ccccc1
Ac4409,O=C(O)CC(c1ccccc1)N1CCOC1=O
Ac5541,O=C(O)c1ccnc(OCc2ccccc2)c1
Ac1717,O=C(O)CC12CC3CC(CC(Cl)(C3)C1)C2
Ac3448,O=C(O)c1ccc(-c2cccc(F)c2)cn1
Ac2090,O=C(O)c1ccc2c(c1)Oc1ccccc1O2
Ac4407,O=C(O)C1(Cc2cccs2)CCCCC1
Ac7311,O=C(O)c1cc(Cl)cn(Cc2ccccc2)c1=O
Ac5925,O=C(O)c1ccc2c(c1)C(=O)N(Cc1cccnc1)C2=O
Ac5641,O=C(O)C1CCN(c2ncc(C(F)(F)F)cc2Cl)CC1
Ac5435,O=C(O)c1cc(=O)c2ccc(Br)cc2o1
Ac4295,Cc1ccc(Oc2ccccc2CC(=O)O)cc1
Ac5674,Cc1cc(C(=O)O)ccc1-c1cccc(C(F)(F)F)c1
Ac2219,O=C(O)c1cncc(-c2ccc(F)cc2)c1
Ac4257,CC(C(=O)O)c1ccc(-c2ccccc2Cl)cc1
Ac379,C[C@@H](Oc1ccc(Oc2ccc(C#N)cc2F)cc1)C(=O)O
Ac1572,CCOc1ccc(S(=O)(=O)N2CCN(C)CC2)cc1C(=O)O
Ac4346,O=C(O)Cc1ccccc1-c1ccccc1Cl
Ac5842,O=C(O)c1cccc(Cc2cccc(F)c2)c1
Ac2203,O=C(O)[C@H]1CC[C@H](CNS(=O)(=O)c2ccccc2)CC1
Ac748,Cc1ccc(C(C(=O)O)c2ccccc2)cc1
Ac1132,O=C(O)C(CCBr)(c1ccccc1)c1ccccc1
Ac7736,CC(C)n1ncc2c(C(=O)O)cc(-c3ccc4c(c3)OCCO4)nc21
Ac4110,CCCc1ccc(Oc2ccc(C(=O)O)cc2)cc1
Ac5970,O=C(O)CCc1ccc(-c2ccc(C(F)(F)F)cc2)cc1
Ac8500,CC(C)(C)c1cc(C(=O)O)nc2ncnn12
Ac1064,O=C(O)c1cccc(-c2ccc(F)cc2)c1
Ac3981,CC(C)(C)OC(=O)N1CCCC1c1cccc(C(=O)O)c1
Ac1436,O=C(O)c1csc(Cc2ccccc2)n1
Ac5559,O=C(O)C1Cc2cc(I)ccc2O1
Ac2673,O=C(O)c1ccc(Oc2cccc(C(F)(F)F)c2)cc1
Ac1873,COc1cc(OC)nc(Oc2ccccc2C(=O)O)n1
Ac2529,COc1ccccc1-c1noc(C)c1C(=O)O
Ac7540,O=C(O)/C=C/c1ccccc1Oc1ccc(Cl)cc1Cl
Ac852,COc1ccc(-c2cccc(C(=O)O)c2)cc1
Ac6859,O=C(O)c1ccccc1Oc1ccc(C(F)(F)F)cc1
Ac6623,Cn1c(C(=O)O)nc(Br)c1Br
Ac7330,COc1ccc(-c2cccc(C(=O)O)c2)cc1OC
Ac6352,O=C(O)CSCC(=O)N1CCOCC1
Ac6380,CC(C)(C)c1ccccc1-c1cccc(C(=O)O)c1
Ac7226,Cc1cc(-c2ccc(C(=O)O)cc2)ccc1F
Ac731,CCCCCCCc1ccc(-c2ccc(C(=O)O)cc2)cc1
