smiles,E_gas_hartree,E_solv_hartree,dG_solv_kcal
CC/C=C\C,-15.773898543075,-15.774465238338,-0.3556063777899471
O=C1NC(=O)NC(=O)C1(CC)CC=C(C)C,-49.81145169776,-49.825712890377,-8.949026717900486
Cc1[nH]c(=O)n(c(=O)c1Cl)C(C)(C)C,-44.493891577118,-44.510930307245,-10.691956503262578
CC/C=C/C,-15.776341795472,-15.776945685884,-0.3789466685437337
ClC(Cl)C(c1ccc(Cl)cc1)c2ccc(Cl)cc2 ,-53.282209760102,-53.291117240486,-5.589524108285629
O=Cc1ccccc1,-22.071753228232,-22.076221500576,-2.803881110310498
c1cc2ccc(OC)c(CC=C(C)(C))c2oc1=O ,-52.471641602341,-52.483901629515,-7.693277391930325
ON=Cc1ccc(o1)N(=O)=O ,-34.684451245969,-34.703352684754,-11.86082295053709
Clc1ccc(c(Cl)c1Cl)c2c(Cl)cc(Cl)c(Cl)c2Cl ,-59.105760964613,-59.113743753082,-5.009271609394014
CON(C)C(=O)Nc1ccc(Cl)cc1,-43.386818180324,-43.402581769699,-9.89179420511583
CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,-68.453580511232,-68.466347422421,-8.011351673291985
COP(=O)(NC(C)=O)SC ,-34.669610186418,-34.685261330987,-9.821234077347762
Cc1cc(C)cc(C)c1,-25.391629943992,-25.393243554516,-1.0125551263047845
ClCC(Cl)(Cl)Cl,-23.492906884992,-23.497153309777,-2.6646697704118414
O=C2CN(N=Cc1ccc(o1)N(=O)=O)C(=O)N2 ,-52.124556973347,-52.146862706851,-13.997048525364882
CCCC(=O)OC,-23.948082294094,-23.954167886446,-3.818763971211734
CNC(=O)Oc1ccccc1OC(C)C,-46.355925426617,-46.370001955517,-8.833148573509261
CCCCCCCCCCCCCCCCCCCCCCCCCC,-83.271200836608,-83.273637626639,-1.5291076755617006
C1CCc2ccccc2C1,-27.537705395939,-27.538988249323,-0.8050020441413784
CC(C)c1ccccc1C,-28.544714890884,-28.54615617692,-0.9044199591654528
OCC(O)C2OC1OC(OC1C2O)C(Cl)(Cl)Cl ,-60.801954172755,-60.82029241407,-11.507411469334302
c1ccc2cc3ccccc3cc2c1,-35.06455831205,-35.066825213586,-1.4225011159517054
OCC(O)C(O)CO,-29.908327985663,-29.928851164236,-12.878479263165085
CNC(=O)Oc1ccccc1C2OCCO2,-49.399809586079,-49.414934316477,-9.49090444731858
Oc1ccc(cc1)N(=O)=O,-30.416314652224,-30.432528292473,-10.17420517900923
Clc1cc(Cl)c(cc1Cl)c2cccc(Cl)c2Cl ,-51.014509865803,-51.022949960428,-5.296235338039999
CCCOC=O,-20.776059682913,-20.780062215877,-2.511625457705488
CC(C)OC=O,-20.780552889354,-20.785128689244,-2.8713556131754094
OCC1OC(C(O)C1O)n2cnc3c(O)ncnc23,-59.610068698084,-59.637161333421,-17.000872507684708
ClC(Br)Br,-15.341785930882,-15.342361633493,-0.3612585697260239
CCSCC,-16.901570406381,-16.902111616746,-0.3396143749309173
c1ccc2c(c1)c3ccccc3c4ccccc24,-44.666585844168,-44.669538041782,-1.8525305725637395
CCCC(C)C,-19.992112311376,-19.992436496812,-0.2034292787588485
Oc1ccc(Cl)cc1Cl,-28.056557655401,-28.063834466136,-4.566264227509167
Brc1ccccc1,-19.461285375349,-19.4643569439,-1.927436909869663
CCCCC(=O)CCCC,-32.517796940312,-32.523022546042,-3.279114626024741
Brc1ccc(I)cc1,-22.766980282588,-22.771855661013,-3.059343840092189
c1ccccc1O,-19.954146086902,-19.960966087609,-4.279611823647787
CC12CCC3C(CCC4=CC(=O)CCC34C)C2CCC1O,-63.139779973747,-63.153913874678,-8.869150039311004
CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c3ccc(OC(F)F)cc3,-96.041971337645,-96.057879416067,-9.98246238251138
ClC(Cl)Cl,-16.283054983324,-16.285455666462,-1.5064502752427638
CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,-80.960511226812,-80.975934363064,-9.678156806354096
CCN2c1nc(C)cc(C(F)(F)F)c1NC(=O)c3cccnc23 ,-68.770607789521,-68.783748092463,-8.245658358835012
CCCN(CCC)c1c(cc(cc1N(=O)=O)C(F)(F)F)N(=O)=O,-75.065455177157,-75.079170250896,-8.606332206881794
c1ccc2c(c1)c3cccc4ccc5cccc2c5c43,-48.975945873814,-48.979129032039,-1.9974604346110612
Cc1cc2ccccc2cc1C,-31.815980377733,-31.818208656581,-1.3982650316304182
CC=C(C(=CC)c1ccc(O)cc1)c2ccc(O)cc2,-55.811419131966,-55.825927351577,-9.104038379880542
COc1c(O)c(Cl)c(Cl)c(Cl)c1Cl ,-43.367073836506,-43.376949171894,-6.196861833985779
CC(C)CCC(C)(C)C,-29.491817475714,-29.492523296307,-0.4429087744915519
CC(C)C(Nc1ccc(cc1Cl)C(F)(F)F)C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,-103.691886039097,-103.710010580463,-11.373312828041373
CCCCCC(C)C,-26.319421470952,-26.319941500363,-0.3263231356670181
c1cc(C)cc2c1c3cc4cccc5CCc(c45)c3cc2,-53.159244167509,-53.163079036762,-2.4064149700794712
CC(C)CCOC=O,-27.104917281173,-27.109258181399,-2.7239539599156264
Oc2ccc1CCCCc1c2 ,-31.611682813129,-31.618831271778,-4.485722138374533
CCC(CC)CO,-24.047676868801,-24.055281244329,-4.771814083200014
CCN2c1ccccc1N(C)C(=O)c3ccccc23 ,-52.356894654282,-52.366725587723,-6.168999212629619
O=Cc2ccc1OCOc1c2 ,-32.366197092267,-32.371108661834,-3.0820541074183985
CC3C2CCC1(C)C=CC(=O)C(=C1C2OC3=O)C,-53.516301730206,-53.529784154555,-8.46034262081674
CCOC(=O)C=Cc1ccccc1,-37.777065571672,-37.784857969503,-4.889799770535451
CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc2cccc(Oc3ccccc3)c2,-76.448972878867,-76.459710837035,-6.738165392048421
CCC1(C(=O)NC(=O)NC1=O)C2=CCCCC2 ,-51.965906903689,-51.979239338688,-8.366222953783344
O=C1NC(=O)NC(=O)C1(CC)c1ccccc1,-49.913192955311,-49.926792798869,-8.53402423124011
CCOC(=O)C,-20.787791091284,-20.794168615365,-4.001953758543955
CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,-56.760688652,-56.769002883892,-5.2172553403177115
CCN2c1nc(Cl)ccc1N(C)C(=O)c3cccnc23 ,-56.969094116336,-56.980826265071,-7.362028920550943
CC1CC(C)C(=O)C(C1)C(O)CC2CC(=O)NC(=O)C2 ,-63.097523633619,-63.117244893001,-12.375267753541095
CCCCC(CC)C=O,-29.341410086738,-29.345116923443,-2.326073393917667
C1=Cc2cccc3cccc1c23,-29.746256654584,-29.748271506398,-1.264337646953393
CC(C)C1CCC(C)CC1=O,-34.674455911469,-34.679389951779,-3.0961547008862564
CCNc1nc(NC(C)C)nc(OC)n1,-46.702459329987,-46.721167316673,-11.739430017342697
CCCC(C)O,-20.891600640222,-20.897595144972,-3.761605681169608
c1ccncc1,-16.150108207289,-16.15411976004,-2.517285455226606
CCC1(C(C)C)C(=O)NC(=O)NC1=O ,-44.523706743345,-44.537105188957,-8.407645207538968
OC(C1=CC2C5C(C1C2=C(c3ccccc3)c4ccccn4)C(=O)NC5=O)(c6ccccc6)c7ccccn7 ,-104.370233710319,-104.386431612185,-10.164329202036608
Nc2cnn(c1ccccc1)c(=O)c2Cl,-42.867559897822,-42.888314024295,-13.023401148946462
CC1CO1,-13.516894967194,-13.519818093338,-1.8342879634948288
CCCCCC(O)CC,-30.376874407546,-30.383695384844,-4.28022464328965
CCOC(=O)c1ccccc1S(=O)(=O)NN(C=O)c2nc(Cl)cc(OC)n2,-83.679468136451,-83.709764131673,-19.011009665756212
CCOP(=S)(OCC)SCSC(C)(C)C,-50.492730811349,-50.501062928816,-5.22847869959909
c1(C#N)c(Cl)c(C#N)c(Cl)c(Cl)c(Cl)1,-41.09955764805,-41.113752837746,-8.90760929094516
C(Cc1ccccc1)c2ccccc2,-37.096595685903,-37.098654515999,-1.2919344147135443
BrCCBr,-14.483011584697,-14.485048376069,-1.2781049170530947
CCCCCCCCCO,-33.541707895393,-33.548604011933,-4.327375193897813
